date,timestamp_start,timestamp_end,equity_total_start,equity_total_end,equity_case1_start,equity_case1_end,equity_case2_start,equity_case2_end,return_total_pct,return_case1_pct,return_case2_pct,loss_rank_total
2025-03-02,2025-03-02 00:00:00,2025-03-02 23:59:00,35195.363208021845,32507.078143880444,26003.634026022355,26003.634026022355,9191.72918199949,6503.444117858089,-7.638179632505338,0.0,-29.24678274253305,58
2025-01-31,2025-01-31 00:00:00,2025-01-31 23:59:00,43843.93064679881,40508.09605655462,35354.45688845871,32546.712453156164,8489.473758340102,7961.383603398458,-7.608429584284437,-7.9416986779370475,-6.2205287391676745,59
2022-03-20,2022-03-20 00:00:00,2022-03-20 23:59:00,1502.80011044002,1390.0936380204826,953.636282099726,869.3566241275049,549.1638283402939,520.7370138929778,-7.49976471498508,-8.837715128314262,-5.1763814330650355,60
2023-12-26,2023-12-26 00:00:00,2023-12-26 23:59:00,13663.566724346789,12659.41076192146,10631.612818206711,9801.729470922031,3031.9539061400747,2857.681290999425,-7.349149623107176,-7.805808596260189,-5.747864925905577,61
2025-06-12,2025-06-12 00:00:00,2025-06-12 23:59:00,54852.15750256012,50822.02768302468,39917.5943980836,36838.93310091407,14934.563104476529,13983.094582110614,-7.347258527337486,-7.712542159898628,-6.370916348270805,62
2024-07-31,2024-07-31 00:00:00,2024-07-31 23:59:00,33362.281379115375,30921.056226860423,28568.68783550805,26412.76326005752,4793.593543607322,4508.292966802912,-7.317320792645631,-7.546459913958426,-5.951705629795912,63
2022-06-06,2022-06-06 00:00:00,2022-06-06 23:59:00,2966.116520228847,2749.528698240129,2113.7933085884656,1997.3925336719185,852.3232116403815,752.1361645682105,-7.302067215215391,-5.50672454319937,-11.754583907124971,64
2025-04-13,2025-04-13 00:00:00,2025-04-13 23:59:00,27128.84785483769,25148.695222267957,16792.710992372093,15187.911920655388,10336.1368624656,9960.783301612566,-7.299066451937907,-9.556521710197163,-3.631468563618623,65
2024-03-05,2024-03-05 00:00:00,2024-03-05 23:59:00,26223.38857108245,24313.51678465717,20237.309381002,18749.30026407903,5986.079190080453,5564.216520578141,-7.2830854077011615,-7.352801150136368,-7.047395400337864,66
2023-11-16,2023-11-16 00:00:00,2023-11-16 23:59:00,9229.21743412075,8562.14998911248,7167.870934171266,6631.054454464585,2061.346499949484,1931.0955346478956,-7.2277790589492135,-7.489204041712361,-6.318732212404865,67
2025-09-22,2025-09-22 00:00:00,2025-09-22 23:59:00,46428.34083005634,43132.65822045521,34373.69412896016,31630.45836192759,12054.646701096175,11502.199858527616,-7.098428569016624,-7.980625407152175,-4.582853867615411,68
2024-08-26,2024-08-26 00:00:00,2024-08-26 23:59:00,30088.485364530927,27986.2433911762,25658.66028984727,23727.89008154481,4429.825074683656,4258.3533096313895,-6.9868654001204895,-7.524828601696076,-3.870847317024395,69
2022-03-03,2022-03-03 00:00:00,2022-03-03 23:59:00,2275.3338046353733,2116.454540466361,1341.4385140323284,1246.171737077118,933.8952906030448,870.282803389243,-6.982679369740796,-7.101837017400148,-6.811522432319506,70
2026-01-07,2026-01-07 00:00:00,2026-01-07 23:59:00,43772.54270526029,40732.38797166736,31287.380121570623,28975.183041094217,12485.162583689666,11757.204930573134,-6.945346433410604,-7.390190778173511,-5.830582086832559,71
2022-02-28,2022-02-28 00:00:00,2022-02-28 23:59:00,2234.530494456386,2079.441326758124,1059.1344450733716,1220.4263505679005,1175.3960493830143,859.0149761902239,-6.94057065155389,15.228652627132288,-26.916976057462872,72
2025-05-23,2025-05-23 00:00:00,2025-05-23 23:59:00,61146.59335018862,56955.268513646064,44027.90637846439,40918.25154906639,17118.686971724226,16037.016964579678,-6.854551671486742,-7.062917783706013,-6.318650542130921,73
2022-06-23,2022-06-23 00:00:00,2022-06-23 23:59:00,3981.8569562321904,3709.9580341781,2903.273408508986,2816.1463157649687,1078.5835477232044,893.8117184131318,-6.828445246596027,-3.0009951005187108,-17.130970493672915,74
2022-04-18,2022-04-18 00:00:00,2022-04-18 23:59:00,1980.5207087273675,1846.5085295241615,1441.2448949130835,1349.746691043577,539.2758138142838,496.76183848058486,-6.766512393062474,-6.3485535450950925,-7.883530884316626,75
2024-06-30,2024-06-30 00:00:00,2024-06-30 23:59:00,32856.81979631712,30641.243762168564,27827.42608529071,25935.94814147892,5029.393711026407,4705.295620689646,-6.743123795556427,-6.797171747090214,-6.444078729136093,76
2024-10-31,2024-10-31 00:00:00,2024-10-31 23:59:00,28273.535251455665,26384.799565920748,23288.94601558204,21764.291575021947,4984.589235873623,4620.507990898801,-6.68022470036772,-6.5466871688396155,-7.3041373671187015,77
2023-03-14,2023-03-14 00:00:00,2023-03-14 23:59:00,4326.69785492666,4038.1037602840806,3144.6290666555224,2923.490054361958,1182.0687882711377,1114.6137059221226,-6.67007737353249,-7.032276545378291,-5.706527658823745,78
2025-06-17,2025-06-17 00:00:00,2025-06-17 23:59:00,51450.66675037747,48028.76405219797,37864.40300509135,35101.71281055976,13586.263745286124,12927.051241638212,-6.650842281172964,-7.296272951035599,-4.8520514249300595,79
2023-11-09,2023-11-09 00:00:00,2023-11-09 23:59:00,10041.54160089448,9374.355055790544,7849.530827457522,7299.482709913547,2192.010773436958,2074.8723458769973,-6.644264114232268,-7.007401201864393,-5.343880102208343,80
2023-09-21,2023-09-21 00:00:00,2023-09-21 23:59:00,5908.187619581791,5516.845123295678,4251.286985582303,3922.6170429256663,1656.9006339994885,1594.228080370011,-6.623731700548374,-7.731069291988025,-3.7825173304566917,81
2025-10-09,2025-10-09 00:00:00,2025-10-09 23:59:00,54316.83231080265,50721.21430887392,41798.98090112544,38650.31876181739,12517.851409677212,12070.895547056529,-6.619712249334597,-7.532868197806398,-3.57054775610417,82
2024-04-12,2024-04-12 00:00:00,2024-04-12 23:59:00,34236.800767976536,31998.961905277065,27186.93724518744,25361.46603939099,7049.863522789097,6637.495865886074,-6.536355069696342,-6.71451583285495,-5.849299856231549,83
2023-09-18,2023-09-18 00:00:00,2023-09-18 23:59:00,5976.0746543563055,5588.036925042736,4322.665076452912,4040.3272983007896,1653.4095779033937,1547.709626741946,-6.4931874475615325,-6.531567289127171,-6.392847396921486,84
2025-01-08,2025-01-08 00:00:00,2025-01-08 23:59:00,29325.3462808388,27421.741445550317,22597.251365223587,20677.146592273886,6728.094915615215,6744.594853276426,-6.491329435834481,-8.497072240850834,0.24523937114675487,85
2023-05-06,2023-05-06 00:00:00,2023-05-06 23:59:00,7209.606210419134,6742.667807696927,5460.526242265625,5079.31891218206,1749.079968153509,1663.3488955148675,-6.476614520879098,-6.98114637986611,-4.901495311797966,86
2023-10-02,2023-10-02 00:00:00,2023-10-02 23:59:00,5729.351100189482,5359.55821752329,4122.531057576337,3821.9612316362136,1606.8200426131452,1537.5969858870767,-6.4543589003292485,-7.290905071236264,-4.308077749235206,87
2025-01-20,2025-01-20 00:00:00,2025-01-20 23:59:00,41957.45145090904,39256.12881387187,34081.01368848496,31873.055623085373,7876.437762424076,7383.073190786497,-6.438242895181001,-6.47855749122157,-6.263803340023333,88
2022-12-15,2022-12-15 00:00:00,2022-12-15 23:59:00,3825.209491002619,3581.408236321188,2384.673060143463,2220.4835973801373,1440.5364308591563,1360.9246389410505,-6.373539939574102,-6.885198038570861,-5.52653790717561,89
2025-03-28,2025-03-28 00:00:00,2025-03-28 23:59:00,32928.98324956022,30837.300993699755,22945.81389799121,20910.479359626603,9983.169351569006,9926.821634073152,-6.352100944047212,-8.870178008995321,-0.5644271424384617,90
2022-04-25,2022-04-25 00:00:00,2022-04-25 23:59:00,1895.3377794175155,1777.0119670417953,1351.4571706388224,1275.5370325139888,543.8806087786928,501.4749345278064,-6.242993394669982,-5.617650323979317,-7.796871880780998,91
2023-09-27,2023-09-27 00:00:00,2023-09-27 23:59:00,5540.119663280922,5196.719835106867,3917.652116231185,3597.484922861806,1622.4675470497375,1599.2349122450614,-6.198418970082131,-8.172425316757902,-1.4319321731224632,92
2024-09-25,2024-09-25 00:00:00,2024-09-25 23:59:00,26516.191681192708,24872.68940466688,21532.44866720241,19985.65314794437,4983.743013990297,4887.036256722514,-6.198108296567817,-7.183556051449336,-1.9404443005249128,93
2023-12-11,2023-12-11 00:00:00,2023-12-11 23:59:00,12543.062026573676,11766.409584863632,9772.189638524907,9124.78890094196,2770.872388048768,2641.6206839216743,-6.191888711581206,-6.62493014902924,-4.6646574084240555,94
2025-01-26,2025-01-26 00:00:00,2025-01-26 23:59:00,43797.28632425057,41108.49017312345,35601.88686061406,33325.42449794094,8195.399463636508,7783.065675182507,-6.13918435772659,-6.394218294063347,-5.0312835912825316,95
2022-04-13,2022-04-13 00:00:00,2022-04-13 23:59:00,1949.2647690971896,1830.0621665751933,1405.964923183083,1322.2916463466154,543.2998459141065,507.770520228578,-6.115259682100838,-5.951306142619317,-6.539542750237692,96
2024-10-25,2024-10-25 00:00:00,2024-10-25 23:59:00,28015.892157012368,26302.842839726032,23219.91188017237,21636.22829529509,4795.980276839992,4666.614544430937,-6.114562790596545,-6.820368626073881,-2.697378323963684,97
2022-07-07,2022-07-07 00:00:00,2022-07-07 23:59:00,4150.980748486139,3897.233359545875,2858.637025555995,2774.923866318747,1292.3437229301446,1122.309493227128,-6.112950271638962,-2.9284291250990857,-13.157043802363678,98
2023-04-20,2023-04-20 00:00:00,2023-04-20 23:59:00,7450.066366716149,7002.595191007479,5582.196878966609,5227.468888473357,1867.86948774954,1775.1263025341225,-6.006271000588503,-6.354630590509025,-4.965185513424553,99
2024-09-17,2024-09-17 00:00:00,2024-09-17 23:59:00,21631.64436419412,20334.993806468625,17320.92350772676,16120.843702415335,4310.720856467359,4214.15010405329,-5.9942301930212105,-6.9284978065752405,-2.2402460198549856,100
2024-03-14,2024-03-14 00:00:00,2024-03-14 23:59:00,33455.71513738535,31451.81576992962,26044.423247881547,24348.126042632262,7411.291889503805,7103.6897272973565,-5.989707167300862,-6.513091839679197,-4.150452671309413,101
2024-05-28,2024-05-28 00:00:00,2024-05-28 23:59:00,28786.81939382385,27065.71781369509,23865.997672841902,22401.58030052325,4920.8217209819495,4664.137513171838,-5.97878340285839,-6.135998973908707,-5.216287489457971,102
2022-08-11,2022-08-11 00:00:00,2022-08-11 23:59:00,3890.535081703234,3658.220970959156,2792.372777217162,2617.31463439478,1098.162304486072,1040.9063365643765,-5.971263743042088,-6.269153755210366,-5.2137983327055215,103
2023-12-17,2023-12-17 00:00:00,2023-12-17 23:59:00,12597.961790820793,11846.41192889074,9774.89347413715,9167.222975199864,2823.06831668364,2679.1889536908748,-5.965646462570251,-6.216645741921267,-5.096559730505767,104
2023-05-31,2023-05-31 00:00:00,2023-05-31 23:59:00,6935.843668777472,6523.051350610683,5082.982603360124,4774.465822718935,1852.8610654173483,1748.5855278917477,-5.951580483640706,-6.069601348571274,-5.627812007702426,105
2024-08-02,2024-08-02 00:00:00,2024-08-02 23:59:00,29730.87409752224,27962.596774608835,25404.810931641507,23732.47222490391,4326.063165880734,4230.124549704926,-5.947612966619009,-6.58276383649331,-2.2176887506513476,106
2024-06-25,2024-06-25 00:00:00,2024-06-25 23:59:00,33670.83294487043,31717.33197543124,28618.84346144304,26988.402254133653,5051.989483427396,4728.929721297583,-5.801760154367663,-5.697089784588993,-6.394703773425947,107
2023-11-14,2023-11-14 00:00:00,2023-11-14 23:59:00,9304.20169126934,8767.841432339972,7247.359375441843,6812.607317503369,2056.842315827497,1955.2341148366029,-5.764710146305885,-5.998765004142892,-4.940009266097556,108
2024-07-15,2024-07-15 00:00:00,2024-07-15 23:59:00,32678.720659102983,30811.738910303862,28080.58166369389,26413.011718105103,4598.138995409088,4398.727192198761,-5.713142103312585,-5.93851639385673,-4.336793720447019,109
2024-07-14,2024-07-14 00:00:00,2024-07-14 23:59:00,34624.196045541365,32661.09231651816,29738.07441366816,28065.9908709967,4886.121631873203,4595.101445521463,-5.669745303085527,-5.6227027998253405,-5.9560569359009445,110
2024-06-12,2024-06-12 00:00:00,2024-06-12 23:59:00,26573.38328136825,25070.710115878486,22182.32017318526,20948.7622447148,4391.06310818299,4121.947871163682,-5.654805598440127,-5.560995959122561,-6.1287034685927555,111
2023-03-12,2023-03-12 00:00:00,2023-03-12 23:59:00,5751.105547307436,5426.462482061855,3921.262852136681,3921.262852136681,1829.8426951707547,1505.199629925174,-5.644881015921765,0.0,-17.74158325753167,112
2024-07-06,2024-07-06 00:00:00,2024-07-06 23:59:00,37708.2920995347,35589.52991711428,32511.39004750031,30781.79535113187,5196.902052034389,4807.734565982403,-5.6188229815016255,-5.319965383951408,-7.488451430398646,113
2025-08-18,2025-08-18 00:00:00,2025-08-18 23:59:00,49260.16627690279,46502.59025987249,36814.46082599067,34617.16557165933,12445.70545091212,11885.42468821316,-5.597983574658116,-5.968565626201072,-4.501799957493768,114
2024-09-15,2024-09-15 00:00:00,2024-09-15 23:59:00,23947.532523016667,22613.04565410793,19317.08584508029,18141.869946862746,4630.446677936377,4471.17570724518,-5.572544343038787,-6.083815683393324,-3.4396459298431603,115
2022-10-27,2022-10-27 00:00:00,2022-10-27 23:59:00,3836.298011662868,3624.277287580028,2603.4739518997894,2441.063356555352,1232.8240597630788,1183.2139310246766,-5.5267010914758945,-6.238226244818934,-4.024104522095073,116
2022-09-09,2022-09-09 00:00:00,2022-09-09 23:59:00,3952.9217617073855,3735.217626970457,2722.968744602234,2758.1903479580865,1229.9530171051522,977.027279012371,-5.507423315226346,1.2935000971154187,-20.563853624919226,117
2025-08-11,2025-08-11 00:00:00,2025-08-11 23:59:00,53447.864241552816,50538.078251258994,40115.34435371219,37840.13818302743,13332.51988784062,12697.940068231565,-5.4441576507965,-5.671660576121207,-4.759639025086315,118
2025-05-04,2025-05-04 00:00:00,2025-05-04 23:59:00,38740.65399424019,36672.654024537405,25643.626965864096,24086.14979985992,13097.027028376096,12586.50422467749,-5.338061587732213,-6.07354477616383,-3.8980052693829315,119
2025-10-07,2025-10-07 00:00:00,2025-10-07 23:59:00,54746.59489340462,51824.39679118536,42073.60708820691,39790.520047243015,12672.98780519771,12033.876743942345,-5.337680102130504,-5.426411470206071,-5.04309694824483,120
2022-10-07,2022-10-07 00:00:00,2022-10-07 23:59:00,3720.1019723165623,3523.5782232528613,2476.8332210806457,2333.840173243212,1243.2687512359173,1189.7380500096497,-5.28275166987755,-5.773220684396563,-4.305641975884411,121
2022-04-27,2022-04-27 00:00:00,2022-04-27 23:59:00,2003.655507847545,1899.9223076580656,1461.2374670258869,1371.414323989141,542.4180408216585,528.5079836689246,-5.1771973666728925,-6.147059944990763,-2.5644532640660023,122
2023-12-15,2023-12-15 00:00:00,2023-12-15 23:59:00,12997.554788210073,12324.89413033202,10093.486261270786,9552.91858868562,2904.068526939285,2771.9755416463995,-5.175286189123929,-5.355609138334605,-4.548549184275064,123
2025-05-29,2025-05-29 00:00:00,2025-05-29 23:59:00,58305.107747231465,55309.59579016578,41475.65025582031,39373.06634639076,16829.45749141116,15936.529443775018,-5.137649294898905,-5.0694417000357594,-5.305744692553793,124
2023-07-06,2023-07-06 00:00:00,2023-07-06 23:59:00,7897.812351025408,7492.963092136477,5898.903926302203,5575.61238090659,1998.9084247232047,1917.3507112298869,-5.126093668664689,-5.480535866232894,-4.080112549658765,125
2025-07-31,2025-07-31 00:00:00,2025-07-31 23:59:00,57109.23491516821,54212.926444477205,43329.93392315075,41019.52857738601,13779.300992017465,13193.397867091197,-5.071523852478965,-5.33212293806502,-4.252052591533417,126
2025-04-16,2025-04-16 00:00:00,2025-04-16 23:59:00,25257.188879955167,23984.350300034526,15055.451030733591,13731.75281530109,10201.737849221574,10252.597484733436,-5.0395100815467275,-8.792152508286577,0.49853893781188763,127
2022-05-15,2022-05-15 00:00:00,2022-05-15 23:59:00,2814.717787756369,2673.068383996096,2101.9881179575814,2000.3278783693277,712.7296697987881,672.7405056267688,-5.032454918799612,-4.8363850737192955,-5.6107056948125456,128
2024-11-14,2024-11-14 00:00:00,2024-11-14 23:59:00,36507.72268082791,34686.58903137296,30420.100460825608,28917.42114075683,6087.622220002302,5769.167890616135,-4.988351821822401,-4.939757914356324,-5.231177590813885,129
