variant,source_group,case3_name,case3_source_variant,w1,w2,w3,rebalance_rule,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref119_cagr_pct,ref119_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_119,delta_mdd_vs_119,delta_calmar_vs_119,meets_target,dominates_119,dominates_85
lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w52_22_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.21999999999999997,0.26,1h,63980.73569355825,3099.0367846779127,132.1526563710793,45.269852165280064,2.9192199675976505,36069,829.6446558653782,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.194916678983986,0.1581768785556008,0.2157570853848667,-0.10340045451809488,2.431642014484119,-0.16811856405526582,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w51_21_28,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.20999999999999996,0.28,1h,64688.84593832019,3134.442296916009,132.77450460802433,45.489393465211656,2.918801384097693,36069,848.2960394229697,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.816764915929014,0.3777181784871928,0.21533850188490922,0.5184477824269322,2.651183314415711,-0.1685371475552233,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb2h_w50_21_29,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.21000000000000002,0.29,2h,63526.11894937908,3076.305947468954,131.7506698533777,45.15856967189603,2.9175120206557685,18035,553.7711779355972,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.792930161282385,0.0468943851715693,0.2140491384429848,-0.5053869722196964,2.3203595211000874,-0.16982651099714774,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb45min_w52_21_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.20999999999999996,0.27,45min,64645.18433603101,3132.2592168015503,132.7363113220692,45.608949931619755,2.910312811873045,48092,1009.3795473963067,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.778571629973897,0.49727464489529183,0.20684992966026128,0.4802544964718152,2.77073978082381,-0.17702571977987125,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb90min_w52_22_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.21999999999999997,0.26,90min,63175.207529085135,3058.760376454257,131.43889109495763,45.228813131246945,2.9060875578039713,24046,642.2188147897853,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.48115140286231,0.11713784452248177,0.20262467559118758,-0.8171657306397719,2.390602980451,-0.18125097384894495,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb90min_w51_21_28,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.20999999999999996,0.28,90min,63782.883954721445,3089.144197736072,131.9779762041374,45.44398940657612,2.9041899253906416,24046,654.5544941740376,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.02023651204209,0.3323141198516595,0.20072704317785783,-0.278080621459992,2.6057792557801776,-0.1831486062622747,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w49_21_30,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.21000000000000002,0.3,3h,62701.96311611746,3035.098155805873,131.01633874824853,45.126337136821746,2.9033231381268725,12023,432.51864458149805,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.058599056153213,0.014661850097283491,0.19986025591408874,-1.2397180773488685,2.2881269860258016,-0.1840153935260438,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb90min_w50_20_30,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.2,0.3,90min,64331.79477004957,3116.5897385024787,132.46159702354632,45.663968306160605,2.900790315362839,24046,664.9289600001234,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.503857331451002,0.5522930194361422,0.1973274331500554,0.20554019794892042,2.8257581553646602,-0.18654821629007712,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb2h_w51_21_28,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.20999999999999996,0.28,2h,63114.633067324954,3055.7316533662474,131.3849391299509,45.33272738700249,2.8982359258538843,18035,547.2926900027546,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.427199437855592,0.22105210027802968,0.1947730436411006,-0.8711176956464897,2.4945172362065478,-0.18910260579903193,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w52_21_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.20999999999999996,0.27,1h,64204.74645290301,3110.2373226451505,132.34993905725653,45.667398978991194,2.8981273734933475,36069,836.1254300899766,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.392199365161218,0.5557236922667315,0.19466449128056373,0.093882231659137,2.8291888281952495,-0.1892111581595688,False,False,False
