variant,rebalance_mode,w1,w2,w3,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,rebalance_count,fee_paid,deferred_due_bars,flat_rebalance_hits
weekly_due_allflat_w0_25_75,weekly_due_allflat,0.0,0.25,0.75,215387.6517194025,10669.382585970125,146.05170936087762,59.199588304870396,2.46710684217481,2,18.916340393336576,181803,2
no_rebalance_w0_25_75,no_rebalance,0.0,0.25,0.75,212958.29411730013,10547.914705865007,145.5152639306978,59.199588304870396,2.4580452009448543,0,0.0,0,0
monthly_due_allflat_w0_25_75,monthly_due_allflat,0.0,0.25,0.75,212941.77664992897,10547.088832496449,145.5115997019248,59.199588304870396,2.4579833047581086,1,16.51746737115002,179339,1
no_rebalance_w0_60_40,no_rebalance,0.0,0.6,0.4,174417.53691793233,8620.876845896617,136.2627021335971,55.65350671335041,2.4484117925476525,0,0.0,0,0
monthly_due_allflat_w0_60_40,monthly_due_allflat,0.0,0.6,0.4,174396.39455969725,8619.819727984863,136.25719124939644,55.65350671335041,2.44831277121861,1,21.142358235080046,179339,1
weekly_due_allflat_w0_20_80,weekly_due_allflat,0.0,0.2,0.8,220537.16835798702,10926.858417899351,147.17285130348844,60.2631975472246,2.442167978029344,2,16.058299232087837,181803,2
no_rebalance_w0_20_80,no_rebalance,0.0,0.2,0.8,218464.1165743507,10823.205828717535,146.72407969045338,60.2631975472246,2.4347211177348274,0,0.0,0,0
monthly_due_allflat_w0_20_80,monthly_due_allflat,0.0,0.2,0.8,218450.02166886063,10822.501083443032,146.72101669402852,60.2631975472246,2.4346702907533606,1,14.094905490052334,179339,1
no_rebalance_w5_55_40,no_rebalance,0.05,0.55,0.4,168231.914768055,8311.59573840275,134.62686735978372,55.486842356533316,2.4262845323713402,0,0.0,0,0
monthly_due_allflat_w5_55_40,monthly_due_allflat,0.05,0.55,0.4,168208.79301073196,8310.439650536598,134.62066215842782,55.486842356533316,2.426172700428985,1,23.12175732304079,179339,1
no_rebalance_w5_50_45,no_rebalance,0.05,0.5,0.45,173737.7372251212,8586.88686125606,136.08523737422354,56.15173806825505,2.423526716284465,0,0.0,0,0
monthly_due_allflat_w5_50_45,monthly_due_allflat,0.05,0.5,0.45,173713.70734421734,8585.685367210866,136.0789540115574,56.15173806825505,2.4234148165840765,1,24.029880903877114,179339,1
weekly_due_allflat_w5_55_40,weekly_due_allflat,0.05,0.55,0.4,166974.55113149344,8248.727556574671,134.28842364917148,55.45555186375959,2.421550577642515,2,26.101232449113326,181803,2
no_rebalance_w5_45_50,no_rebalance,0.05,0.45,0.5,179243.55968217403,8862.177984108703,137.50674880550267,56.83067115343463,2.419586924008943,0,0.0,0,0
monthly_due_allflat_w5_45_50,monthly_due_allflat,0.05,0.45,0.5,179219.06214348588,8860.953107174293,137.50050254061014,56.83067115343463,2.419477013906427,1,24.497538688165893,179339,1
weekly_due_allflat_w0_15_85,weekly_due_allflat,0.0,0.15,0.85,225621.90213681266,11181.095106840632,148.25933296070127,61.29138007090154,2.418926328452642,2,12.729808268359116,181803,2
weekly_due_allflat_w5_50_45,weekly_due_allflat,0.05,0.5,0.45,172415.2209931847,8520.761049659233,135.73837575029347,56.12356279779481,2.4185630595003293,2,26.93594755128461,181803,2
no_rebalance_w5_40_55,no_rebalance,0.05,0.4,0.55,184749.38213920695,9137.469106960347,138.89342363407522,57.51333270216244,2.4149778339806236,0,0.0,0,0
monthly_due_allflat_w5_40_55,monthly_due_allflat,0.05,0.4,0.55,184724.85740853107,9136.242870426555,138.8873213796749,57.51333270216244,2.4148717324192357,1,24.524730675870746,179339,1
weekly_due_allflat_w5_45_50,weekly_due_allflat,0.05,0.45,0.5,177791.1105804021,8789.555529020106,137.13521310457764,56.80753565862668,2.4140320736436056,2,27.258312177251547,181803,2
no_rebalance_w0_15_85,no_rebalance,0.0,0.15,0.85,223969.93903140066,11098.496951570032,147.90853745171492,61.29138007090154,2.4132029215301585,0,0.0,0,0
monthly_due_allflat_w0_15_85,monthly_due_allflat,0.0,0.15,0.85,223958.70715358827,11097.935357679415,147.90614521308703,61.29138007090154,2.4131638909417603,1,11.231877812386212,179339,1
no_rebalance_w5_35_60,no_rebalance,0.05,0.35,0.6,190255.2045962643,9412.760229813215,140.24711661480848,58.17554114796604,2.4107574050424088,0,0.0,0,0
