episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,days_to_trough,days_to_recovery,recovered,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,episode_label
U380,136269,136286,136298.0,2024-11-21 11:15:00,2024-11-21 15:30:00,2024-11-21 18:30:00,153534.29236665228,148172.9846128063,153870.2376703447,3.4919285269786826,0.17708333333333334,0.3020833333333333,True,-2.0142459886080877,0.12621481761958542,100.0,0.0,100.0,0.0,0.0,0.0,0.5,4.888888888888889,0,혼합형 추세/휩쏘
U381,136298,136299,136301.0,2024-11-21 18:30:00,2024-11-21 18:45:00,2024-11-21 19:15:00,153870.2376703447,153429.1739974324,155596.02120624844,0.2866465143553265,0.010416666666666666,0.03125,True,-0.16549895699060624,0.6475604152519354,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U382,136301,136311,136333.0,2024-11-21 19:15:00,2024-11-21 21:45:00,2024-11-22 03:15:00,155596.02120624844,152040.96130701315,155822.24243897677,2.284801289695526,0.10416666666666667,0.3333333333333333,True,-1.325371542388254,0.08433815256014832,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U383,136333,136337,136350.0,2024-11-22 03:15:00,2024-11-22 04:15:00,2024-11-22 07:30:00,155822.24243897677,154815.21929879562,156700.0350066892,0.6462640534617647,0.041666666666666664,0.17708333333333334,True,-0.3751146688303564,0.3269764667770625,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U384,136351,136788,137579.0,2024-11-22 07:45:00,2024-11-26 21:00:00,2024-12-05 02:45:00,156798.38028510884,134262.95257451656,162206.28690366057,14.372232461595447,4.552083333333333,12.791666666666666,True,-8.364002011060833,2.0071392659628096,100.0,0.0,100.0,0.0,0.0,0.0,3.0,4.878995433789954,0,혼합형 추세/휩쏘
U385,137581,137582,137583.0,2024-12-05 03:15:00,2024-12-05 03:30:00,2024-12-05 03:45:00,167285.02130932012,166760.5131577488,167337.03864666604,0.31354161147606474,0.010416666666666666,0.020833333333333332,True,-0.18737774715036348,0.018582917072751393,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U386,137583,137586,137590.0,2024-12-05 03:45:00,2024-12-05 04:30:00,2024-12-05 05:30:00,167337.03864666604,165972.12538859967,167555.40309406613,0.8156671524159109,0.03125,0.07291666666666667,True,-0.4875174061519161,0.07799504354077946,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U387,137590,137597,137628.0,2024-12-05 05:30:00,2024-12-05 07:15:00,2024-12-05 15:00:00,167555.40309406613,162659.81306364533,167723.1048222803,2.9217738968837725,0.07291666666666667,0.3958333333333333,True,-1.7472357994788301,0.059852737126586675,100.0,0.0,100.0,0.0,0.0,0.0,0.875,5.0,0,혼합형 추세/휩쏘
U388,137628,137658,138621.0,2024-12-05 15:00:00,2024-12-05 22:30:00,2024-12-15 23:15:00,167723.1048222803,142998.3432414152,168616.88188428135,14.741416578868794,0.3125,10.34375,True,-8.818987576631375,0.318798172442869,100.0,0.0,100.0,0.0,0.0,0.0,2.3870967741935485,4.967741935483871,0,혼합형 추세/휩쏘
U389,138623,138625,138626.0,2024-12-15 23:45:00,2024-12-16 00:15:00,2024-12-16 00:30:00,170760.70058437652,170393.59906300297,173829.18164052183,0.21498009794833628,0.020833333333333332,0.03125,True,-0.12953665074624254,1.0827543220309765,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U390,138627,138675,138686.0,2024-12-16 00:45:00,2024-12-16 12:45:00,2024-12-16 15:30:00,173957.5994420946,167829.57780966023,174360.46288289345,3.5227099316659682,0.5,0.6145833333333334,True,-2.138233147671287,0.14056999383647018,100.0,0.0,100.0,0.0,0.0,0.0,0.10204081632653061,5.0,0,혼합형 추세/휩쏘
U391,138687,138688,138689.0,2024-12-16 15:45:00,2024-12-16 16:00:00,2024-12-16 16:15:00,175653.58137847722,175479.9193303588,176308.4037970454,0.09886621539713092,0.010416666666666666,0.020833333333333332,True,-0.06023892581120682,0.2271411601960649,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U392,138690,138691,138692.0,2024-12-16 16:30:00,2024-12-16 16:45:00,2024-12-16 17:00:00,176428.1520423938,175959.72508264854,176489.65170686008,0.26550579050031997,0.010416666666666666,0.020833333333333332,True,-0.1620499458739988,0.021275498966688566,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U393,138692,138693,138694.0,2024-12-16 17:00:00,2024-12-16 17:15:00,2024-12-16 17:30:00,176489.65170686008,176482.0658451638,177316.78155538664,0.004298190643425848,0.010416666666666666,0.020833333333333332,True,-0.002623732409279267,0.28608053734040517,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U394,138695,138696,138697.0,2024-12-16 17:45:00,2024-12-16 18:00:00,2024-12-16 18:15:00,177342.24837679556,177132.01163835582,177929.33988736128,0.11854859198190404,0.010416666666666666,0.020833333333333332,True,-0.07250107210025059,0.20246111242432363,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U395,138698,138718,138778.0,2024-12-16 18:30:00,2024-12-16 23:30:00,2024-12-17 14:30:00,179118.15278462117,173265.118638677,179152.28916225443,3.2676945663804857,0.20833333333333334,0.8333333333333334,True,-2.0061585091801892,0.011700424558269695,100.0,0.0,100.0,0.0,0.0,0.0,0.9047619047619048,4.9523809523809526,0,혼합형 추세/휩쏘
