variant,case3_name,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
compression_case3_w72_22_6,compression_case3,0.72,0.22,0.06,43667.848492681966,2083.392424634098,111.57181535286482,46.83695901805817,2.382131925128783,9013,204.01971230686638
regime_hold_case3_w64_36_0,regime_hold_case3,0.64,0.36,0.0,50759.78547951002,2437.989273975501,119.45652225939286,50.17894292569128,2.3806105767571264,9012,228.77885234027937
compression_case3_w64_36_0,compression_case3,0.64,0.36,0.0,50759.78547951002,2437.989273975501,119.45333411730385,50.17894292569128,2.380547041299759,9013,228.77885234027937
regime_hold_case3_w64_16_20,regime_hold_case3,0.64,0.16,0.2,41679.81354004685,1983.9906770023426,109.19227612830551,45.871910272430874,2.380373424167825,9012,301.5943745242473
compression_case3_w62_18_20,compression_case3,0.62,0.18,0.2,33139.398120208745,1556.9699060104374,97.85082845407493,41.12293303783909,2.379471045123117,9013,209.3335834879024
regime_hold_case3_w72_20_8,regime_hold_case3,0.72,0.2,0.08,46193.64358474435,2209.6821792372175,114.48602000803638,48.150230608001976,2.3776837319863264,9012,245.6807195720806
compression_case3_w60_38_2,compression_case3,0.6,0.38,0.02,49259.87005967635,2362.9935029838175,117.85938103490423,49.58515527806201,2.376908580279244,9013,237.84757810232531
regime_hold_case3_w62_38_0,regime_hold_case3,0.62,0.38,0.0,50931.263199261586,2446.563159963079,119.63647616574562,50.38941890539241,2.374238059588791,9012,232.11967226814753
compression_case3_w62_38_0,compression_case3,0.62,0.38,0.0,50931.263199261586,2446.563159963079,119.63328208193613,50.38941890539241,2.374174671602208,9013,232.11967226814753
compression_case3_w68_20_12,compression_case3,0.68,0.2,0.12,38904.67387826435,1845.2336939132176,105.71554058165931,44.60520766722217,2.370026867049958,9013,210.8081789719773
regime_hold_case3_w60_40_0,regime_hold_case3,0.6,0.4,0.0,51051.19394260861,2452.559697130431,119.76206275220149,50.601471116196315,2.366770374663446,9012,234.43701850166642
compression_case3_w60_40_0,compression_case3,0.6,0.4,0.0,51051.19394260861,2452.559697130431,119.75886452015772,50.601471116196315,2.3667071703341405,9013,234.43701850166642
compression_case3_w74_22_4,compression_case3,0.74,0.22,0.04,45156.578826323464,2157.8289413161733,113.30264327202411,47.9414922592738,2.3633524517607576,9013,196.32801163530826
regime_hold_case3_w70_18_12,regime_hold_case3,0.7,0.18,0.12,44661.94309876221,2133.09715493811,112.73539410599645,47.75457000263997,2.3607247243512863,9012,267.2385219753411
regime_hold_case3_w66_16_18,regime_hold_case3,0.66,0.16,0.18,42343.85551939622,2017.1927759698108,109.99745513302327,46.62958925204804,2.358962557839645,9012,293.2296870904248
regime_hold_case3_w76_22_2,regime_hold_case3,0.76,0.22,0.02,47888.82970405767,2294.4414852028835,116.37300082522782,49.334616783988295,2.3588508112826174,9012,198.1901328839829
compression_case3_w64_18_18,compression_case3,0.64,0.18,0.18,34433.248996305694,1621.6624498152846,99.70107008854147,42.318152307300316,2.355988261598605,9013,209.2164210824131
regime_hold_case3_w74_20_6,regime_hold_case3,0.74,0.2,0.06,46628.433579863755,2231.4216789931875,114.97493610927214,48.9103483226371,2.3507282211698843,9012,227.8700837058175
compression_case3_w70_20_10,compression_case3,0.7,0.2,0.1,40312.86037668708,1915.6430188343538,107.5009215344259,45.74508241164944,2.3499995161676597,9013,206.7685782270249
compression_case3_w76_22_2,compression_case3,0.76,0.22,0.02,46661.84515844018,2233.092257922009,115.00932175025476,49.02724908130168,2.3458244936307824,9013,187.04170747126395
regime_hold_case3_w68_16_16,regime_hold_case3,0.68,0.16,0.16,42970.33061382306,2048.516530691153,110.74836726513672,47.38319916617911,2.337291892780976,9012,283.11140914621427
regime_hold_case3_w72_18_10,regime_hold_case3,0.72,0.18,0.1,45177.336834132424,2158.8668417066215,113.32945705841854,48.50955621930433,2.336229516223016,9012,252.35084514056777
compression_case3_w66_18_16,compression_case3,0.66,0.18,0.16,35751.67244803554,1687.5836224017771,101.53308264495146,43.493648371074734,2.3344347151267173,9013,208.07837703622295
compression_case3_w72_20_8,compression_case3,0.72,0.2,0.08,41741.54245334784,1987.077122667392,109.26467649266156,46.86581227442025,2.331436737997159,9013,201.39314156487208
regime_hold_case3_w78_22_0,regime_hold_case3,0.78,0.22,0.0,48181.411204192875,2309.0705602096436,116.69354898740995,50.09445708431579,2.329470280334585,9012,176.29186708068588
compression_case3_w78_22_0,compression_case3,0.78,0.22,0.0,48181.411204192875,2309.0705602096436,116.69045172945145,50.09445708431579,2.329408451977941,9013,176.29186708068588
regime_hold_case3_w76_20_4,regime_hold_case3,0.76,0.2,0.04,47013.73429756865,2250.686714878432,115.4053263511548,49.66568453158543,2.3236431238103954,9012,208.3549150574161
regime_hold_case3_w70_16_14,regime_hold_case3,0.7,0.16,0.14,43557.13384594916,2077.856692297458,111.44424801436341,48.13265166284955,2.3153565025876177,9012,271.2455059180308
compression_case3_w68_18_14,compression_case3,0.68,0.18,0.14,37093.63350271901,1754.6816751359504,103.34601378028671,44.64965467681803,2.314598276925614,9013,205.83864525578133
compression_case3_w74_20_6,compression_case3,0.74,0.2,0.06,43189.18356132878,2059.4591780664387,111.00582548754869,47.96761285690525,2.3141828178670494,9013,194.57700424066368
regime_hold_case3_w74_18_8,regime_hold_case3,0.74,0.18,0.08,45647.137579308954,2182.356878965448,113.86651483166585,49.25999488105991,2.3115413451950366,9012,235.64522696501155
regime_hold_case3_w66_14_20,regime_hold_case3,0.66,0.14,0.2,41141.07336689295,1957.0536683446476,108.5318652342985,47.036715604620326,2.3073861310086374,9012,293.51386003427575
compression_case3_w76_20_4,compression_case3,0.76,0.2,0.04,44654.25277432552,2132.712638716276,112.72352282626761,49.05071141961835,2.298101690349442,9013,186.20561461775884
regime_hold_case3_w78_20_2,regime_hold_case3,0.78,0.2,0.02,47348.10951976913,2267.4054759884566,115.77667291292357,50.4161612307757,2.2964198401176494,9012,187.1955655524927
compression_case3_w70_18_12,compression_case3,0.7,0.18,0.12,38457.997402603425,1822.8998701301712,105.13900563181373,45.786400656972624,2.2962933124947993,9013,202.42104923667955
