variant,overlay_name,core_weight,overlay_weight,rebalance_hours,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,fee_paid,rebalance_count,delta_cagr_vs_core85,delta_mdd_vs_core85,delta_calmar_vs_core85,meets_cagr_floor,is_live_overlay
study111_exact_w3_rb24h,study111_exact,0.97,0.03,24,48487.69477384784,2324.384738692392,117.0461868559062,42.77291788878935,2.736455510475792,16.238476586348153,1503,-3.5901747660662693,-1.0828807691650084,-0.014295024541360224,True,True
study111_proxy_w4_rb24h,study111_proxy,0.96,0.04,24,47574.8227649587,2278.741138247935,116.04578168101725,42.40879235983594,2.7363613822430044,21.160476557004593,1503,-4.590579940955223,-1.447006298118417,-0.014389152774147984,True,True
study111_proxy_w3_rb4h,study111_proxy,0.97,0.03,4,48493.40602224697,2324.6703011123486,117.05240069331305,42.78758250873902,2.7356628682961004,34.40722945454899,9016,-3.5839609286594225,-1.0682161492153384,-0.015087666721051995,True,True
gap12_reference_w8_rb4h,gap12_reference,0.92,0.08,4,43687.10138173502,2084.355069086751,111.61500470908719,40.802717138303336,2.735479706676426,86.66616781052167,9016,-9.021356912885281,-3.0530815196510233,-0.01527082834072635,True,True
gap12_reference_w7_rb168h,gap12_reference,0.9299999999999999,0.07,168,44542.96000716992,2127.1480003584957,112.61529839446571,41.17432915127358,2.735085202741727,15.294983150603205,215,-8.021063227506758,-2.681469506680777,-0.015665332275425214,True,True
buy_hold_reference_w8_rb168h,buy_hold_reference,0.92,0.08,168,44449.27165186403,2122.4635825932014,112.5065119890646,41.13659351236427,2.7349496490332617,15.42350467188008,215,-8.129849632907863,-2.719205145590088,-0.015800885983890733,True,True
study111_exact_w3_rb168h,study111_exact,0.97,0.03,168,48469.33442760103,2323.4667213800517,117.02620704791444,42.80012774923618,2.73424901284326,6.927809775756472,215,-3.610154574058029,-1.0556709087181773,-0.016501522173892447,True,True
gap12_reference_w15_rb24h,gap12_reference,0.85,0.15,24,37384.865778413274,1769.2432889206636,103.75164162411052,37.959309140451744,2.733233137627009,62.6761065499411,1503,-16.88471999786195,-5.896489517502616,-0.01751739739014324,True,True
gap12_reference_w8_rb168h,gap12_reference,0.92,0.08,168,43545.98093457543,2077.299046728772,111.4486472156564,40.78421402196475,2.7326417803622403,16.991381731460223,215,-9.187714406316076,-3.071584635989609,-0.01810875465491213,True,True
study111_proxy_w5_rb24h,study111_proxy,0.95,0.05,24,46532.498682903846,2226.6249341451926,114.88558465312803,42.04308142801288,2.7325681360876874,25.688577908259575,1503,-5.750776968844434,-1.8127172299414767,-0.018182398929464938,True,True
study111_proxy_w4_rb168h,study111_proxy,0.96,0.04,168,47517.1122270976,2275.85561135488,115.98205067333663,42.44508627029302,2.732520083355598,8.906328200502099,215,-4.654310948635839,-1.4107123876613414,-0.018230451661554348,True,True
study111_exact_w3_rb4h,study111_exact,0.97,0.03,4,48362.73003282189,2318.1365016410946,116.91008635201791,42.78758250873914,2.7323368018779663,34.36333215081455,9016,-3.726275269954556,-1.0682161492152176,-0.01841373313918604,True,True
study111_exact_w4_rb24h,study111_exact,0.96,0.04,24,47389.14207284221,2269.4571036421107,115.84052115801127,42.40879235983614,2.731521335837889,21.021391443293055,1503,-4.7958404639611985,-1.4470062981182181,-0.019229199179263468,True,True
gap12_reference_w10_rb4h,gap12_reference,0.9,0.1,4,41751.31422239569,1987.5657111197845,109.29658100089053,40.0203505064671,2.7310250814327253,102.39230319584787,9016,-11.339780621081943,-3.835448151487256,-0.01972545358442712,True,True
study111_proxy_w4_rb4h,study111_proxy,0.96,0.04,4,47398.28932889129,2269.9144664445644,115.85064722551897,42.42826644370673,2.7305062623576215,44.53129974946551,9016,-4.7857143964535,-1.427532214247627,-0.020244272659530882,True,True
study111_proxy_w6_rb24h,study111_proxy,0.94,0.06,24,45503.41766735913,2175.1708833679563,113.72066672517427,41.67578349430616,2.728698951531674,29.931008607649304,1503,-6.9156948967982,-2.1800151636482,-0.02205158348547842,True,True
study111_exact_w4_rb168h,study111_exact,0.96,0.04,168,47366.34002245458,2268.317001122729,115.81527270871361,42.44508627029299,2.728590818998332,8.965851667795345,215,-4.821088913258862,-1.4107123876613699,-0.022159716018820497,True,True
study111_proxy_w5_rb168h,study111_proxy,0.95,0.05,168,46463.7409949686,2223.1870497484297,114.8083623484696,42.08845920762493,2.7277872488064476,10.808720468711815,215,-5.8279992735028685,-1.7673394503294304,-0.02296328621070476,True,True
gap12_reference_w10_rb168h,gap12_reference,0.9,0.1,168,41591.16544249157,1979.5582721245783,109.10115847563814,39.998629860472526,2.727622392472352,20.053319692434734,215,-11.535203146334325,-3.857168797481833,-0.023128142544800223,True,True
buy_hold_reference_w10_rb168h,buy_hold_reference,0.9,0.1,168,42682.33477712356,2034.1167388561778,110.421563039838,40.488455456233154,2.727235746475943,18.305017633131744,215,-10.214798582134463,-3.367343201721205,-0.023514788541209253,True,True
study111_exact_w5_rb24h,study111_exact,0.95,0.05,24,46305.78965466418,2215.2894827332093,114.63063780556001,42.043081428012854,2.7265041931294514,25.50626860037008,1503,-6.005723816412456,-1.812717229941505,-0.02424634188770103,True,True
gap12_reference_w12_rb4h,gap12_reference,0.88,0.12,4,39863.30192324286,1893.1650961621433,106.95562148581197,39.23026606173175,2.7263547312554377,116.00497454245269,9016,-13.680740136160495,-4.625532596222612,-0.024395803761714685,True,True
study111_exact_w4_rb4h,study111_exact,0.96,0.04,4,47228.06031409221,2261.4030157046104,115.66195978210519,42.42826644370644,2.726059051589222,44.451900638260454,9016,-4.974401839867284,-1.4275322142479183,-0.024691483427930372,True,True
study111_proxy_w5_rb4h,study111_proxy,0.95,0.05,4,46319.043011312206,2215.9521505656103,114.64556790980413,42.06732318433708,2.725287924963338,54.019927621036416,9016,-5.99079371216834,-1.7884754736172823,-0.025462610053814227,True,True
